onset	duration	channel	onset_sample_idx	event_type	target_sequence	keypress_id	finger_label	trial_number
7.9433333333333	0	UPPT001	4767	StartPractice	41324	n/a	n/a	1
10.3800000000000	0	n/a	6229	KeyDown	41324	4	Index	1
10.9516666666667	0	n/a	6572	KeyDown	41324	1	Little	1
12.2050000000000	0	n/a	7324	KeyDown	41324	4	Index	1
14.1400000000000	0	n/a	8485	KeyDown	41324	3	Middle	1
15.1033333333333	0	n/a	9063	KeyDown	41324	2	Ring	1
15.6666666666667	0	n/a	9401	KeyDown	41324	4	Index	1
17.6666666666667	0	n/a	10601	KeyDown	41324	4	Index	1
17.9816666666667	0	n/a	10790	StopPractice	41324	n/a	n/a	1
17.9833333333333	0	n/a	10791	StartRest	XXXXX	n/a	n/a	1
28.0066666666667	0	n/a	16805	StopRest	XXXXX	n/a	n/a	1
28.0083333333333	0	UPPT001	16806	StartPractice	41324	n/a	n/a	2
29.3483333333333	0	n/a	17610	KeyDown	41324	4	Index	2
30.2016666666667	0	n/a	18122	KeyDown	41324	1	Little	2
31.0266666666667	0	n/a	18617	KeyDown	41324	3	Middle	2
31.5166666666667	0	n/a	18911	KeyDown	41324	2	Ring	2
31.9350000000000	0	n/a	19162	KeyDown	41324	4	Index	2
33.5250000000000	0	n/a	20116	KeyDown	41324	4	Index	2
34.0833333333333	0	n/a	20451	KeyDown	41324	1	Little	2
35.2766666666667	0	n/a	21167	KeyDown	41324	3	Middle	2
35.6966666666667	0	n/a	21419	KeyDown	41324	2	Ring	2
36.0716666666667	0	n/a	21644	KeyDown	41324	4	Index	2
37.0566666666667	0	n/a	22235	KeyDown	41324	4	Index	2
37.8600000000000	0	n/a	22717	KeyDown	41324	1	Little	2
38.0466666666667	0	n/a	22829	StopPractice	41324	n/a	n/a	2
38.0483333333333	0	n/a	22830	StartRest	XXXXX	n/a	n/a	2
48.0800000000000	0	n/a	28849	StopRest	XXXXX	n/a	n/a	2
48.0816666666667	0	UPPT001	28850	StartPractice	41324	n/a	n/a	3
49.0550000000000	0	n/a	29434	KeyDown	41324	4	Index	3
49.5816666666667	0	n/a	29750	KeyDown	41324	1	Little	3
50.0983333333333	0	n/a	30060	KeyDown	41324	3	Middle	3
50.5200000000000	0	n/a	30313	KeyDown	41324	2	Ring	3
51.0850000000000	0	n/a	30652	KeyDown	41324	4	Index	3
51.9783333333333	0	n/a	31188	KeyDown	41324	4	Index	3
52.7650000000000	0	n/a	31660	KeyDown	41324	1	Little	3
53.8950000000000	0	n/a	32338	KeyDown	41324	3	Middle	3
54.2633333333333	0	n/a	32559	KeyDown	41324	2	Ring	3
54.6350000000000	0	n/a	32782	KeyDown	41324	4	Index	3
55.1800000000000	0	n/a	33109	KeyDown	41324	4	Index	3
55.5666666666667	0	n/a	33341	KeyDown	41324	1	Little	3
55.9316666666667	0	n/a	33560	KeyDown	41324	3	Middle	3
56.1800000000000	0	n/a	33709	KeyDown	41324	2	Ring	3
56.4266666666667	0	n/a	33857	KeyDown	41324	4	Index	3
57.1150000000000	0	n/a	34270	KeyDown	41324	4	Index	3
57.7583333333333	0	n/a	34656	KeyDown	41324	1	Little	3
58.1200000000000	0	n/a	34873	StopPractice	41324	n/a	n/a	3
58.1216666666667	0	n/a	34874	StartRest	XXXXX	n/a	n/a	3
68.1550000000000	0	n/a	40894	StopRest	XXXXX	n/a	n/a	3
68.1566666666667	0	UPPT001	40895	StartPractice	41324	n/a	n/a	4
68.8700000000000	0	n/a	41323	KeyDown	41324	4	Index	4
69.4783333333333	0	n/a	41688	KeyDown	41324	1	Little	4
70.3833333333333	0	n/a	42231	KeyDown	41324	3	Middle	4
71.0083333333333	0	n/a	42606	KeyDown	41324	2	Ring	4
71.4250000000000	0	n/a	42856	KeyDown	41324	4	Index	4
72.3200000000000	0	n/a	43393	KeyDown	41324	4	Index	4
72.7633333333333	0	n/a	43659	KeyDown	41324	1	Little	4
73.3166666666667	0	n/a	43991	KeyDown	41324	3	Middle	4
73.6250000000000	0	n/a	44176	KeyDown	41324	2	Ring	4
74.5633333333333	0	n/a	44739	KeyDown	41324	4	Index	4
75.2866666666667	0	n/a	45173	KeyDown	41324	4	Index	4
75.6366666666667	0	n/a	45383	KeyDown	41324	1	Little	4
76.4633333333333	0	n/a	45879	KeyDown	41324	3	Middle	4
76.8583333333333	0	n/a	46116	KeyDown	41324	2	Ring	4
77.3383333333333	0	n/a	46404	KeyDown	41324	4	Index	4
78.1950000000000	0	n/a	46918	StopPractice	41324	n/a	n/a	4
78.1966666666667	0	n/a	46919	StartRest	XXXXX	n/a	n/a	4
88.2300000000000	0	n/a	52939	StopRest	XXXXX	n/a	n/a	4
88.2316666666667	0	UPPT001	52940	StartPractice	41324	n/a	n/a	5
88.7933333333333	0	n/a	53277	KeyDown	41324	4	Index	5
89.5633333333333	0	n/a	53739	KeyDown	41324	1	Little	5
90.1833333333333	0	n/a	54111	KeyDown	41324	3	Middle	5
90.5450000000000	0	n/a	54328	KeyDown	41324	2	Ring	5
90.8716666666667	0	n/a	54524	KeyDown	41324	4	Index	5
91.3316666666667	0	n/a	54800	KeyDown	41324	4	Index	5
91.7300000000000	0	n/a	55039	KeyDown	41324	1	Little	5
92.1150000000000	0	n/a	55270	KeyDown	41324	3	Middle	5
92.3483333333333	0	n/a	55410	KeyDown	41324	2	Ring	5
92.9583333333333	0	n/a	55776	KeyDown	41324	4	Index	5
94.3433333333333	0	n/a	56607	KeyDown	41324	4	Index	5
95.3516666666667	0	n/a	57212	KeyDown	41324	1	Little	5
95.8733333333333	0	n/a	57525	KeyDown	41324	3	Middle	5
96.2333333333333	0	n/a	57741	KeyDown	41324	2	Ring	5
96.5750000000000	0	n/a	57946	KeyDown	41324	4	Index	5
97.2900000000000	0	n/a	58375	KeyDown	41324	4	Index	5
97.6133333333333	0	n/a	58569	KeyDown	41324	1	Little	5
97.9383333333333	0	n/a	58764	KeyDown	41324	3	Middle	5
98.1900000000000	0	n/a	58915	KeyDown	41324	2	Ring	5
98.2700000000000	0	n/a	58963	StopPractice	41324	n/a	n/a	5
98.2716666666667	0	n/a	58964	StartRest	XXXXX	n/a	n/a	5
108.3050000000000	0	n/a	64984	StopRest	XXXXX	n/a	n/a	5
108.3066666666667	0	UPPT001	64985	StartPractice	41324	n/a	n/a	6
108.9300000000000	0	n/a	65359	KeyDown	41324	4	Index	6
109.4400000000000	0	n/a	65665	KeyDown	41324	1	Little	6
109.8950000000000	0	n/a	65938	KeyDown	41324	3	Middle	6
110.1083333333333	0	n/a	66066	KeyDown	41324	2	Ring	6
110.5916666666667	0	n/a	66356	KeyDown	41324	4	Index	6
111.0633333333333	0	n/a	66639	KeyDown	41324	4	Index	6
111.4333333333333	0	n/a	66861	KeyDown	41324	1	Little	6
111.7566666666667	0	n/a	67055	KeyDown	41324	3	Middle	6
111.9933333333333	0	n/a	67197	KeyDown	41324	2	Ring	6
112.2500000000000	0	n/a	67351	KeyDown	41324	4	Index	6
112.7683333333333	0	n/a	67662	KeyDown	41324	4	Index	6
113.0700000000000	0	n/a	67843	KeyDown	41324	1	Little	6
113.3500000000000	0	n/a	68011	KeyDown	41324	3	Middle	6
113.6050000000000	0	n/a	68164	KeyDown	41324	2	Ring	6
114.5216666666667	0	n/a	68714	KeyDown	41324	4	Index	6
115.3616666666667	0	n/a	69218	KeyDown	41324	4	Index	6
115.6150000000000	0	n/a	69370	KeyDown	41324	1	Little	6
115.8366666666667	0	n/a	69503	KeyDown	41324	3	Middle	6
116.0350000000000	0	n/a	69622	KeyDown	41324	2	Ring	6
116.2250000000000	0	n/a	69736	KeyDown	41324	4	Index	6
117.0916666666667	0	n/a	70256	KeyDown	41324	4	Index	6
117.3066666666667	0	n/a	70385	KeyDown	41324	1	Little	6
117.5166666666667	0	n/a	70511	KeyDown	41324	3	Middle	6
117.7183333333333	0	n/a	70632	KeyDown	41324	2	Ring	6
117.9100000000000	0	n/a	70747	KeyDown	41324	4	Index	6
